,0,1,2,3,4,5,6,7
163,False,False,False,True,False,False,False,False
164,False,False,False,True,False,False,False,False
165,True,False,False,False,False,False,False,False
166,False,False,False,False,False,False,False,False
167,False,False,False,False,True,False,False,False
168,False,False,False,False,True,True,False,False
169,False,False,False,False,True,False,False,False
170,False,False,False,False,False,True,False,False
171,False,False,False,False,False,True,False,False
172,False,False,False,False,True,False,False,False
173,False,False,False,False,False,True,False,False
174,False,False,False,False,False,True,False,False
175,False,False,False,False,False,True,False,False
176,False,False,False,False,False,True,False,False
177,False,False,False,False,False,True,False,False
178,False,False,False,False,False,True,False,False
179,False,False,False,False,True,False,False,False
180,False,False,False,False,False,True,False,False
181,False,False,False,False,False,False,False,False
182,False,False,False,True,False,False,False,False
183,False,False,False,False,False,False,False,False
184,True,False,False,False,False,False,False,False
185,True,False,False,False,False,False,False,False
186,False,False,False,False,True,False,False,False
187,False,False,False,False,True,False,False,False
188,False,True,False,False,False,False,False,False
189,True,False,False,False,False,False,False,False
190,False,False,False,True,False,False,True,False
191,False,False,False,False,False,False,False,False
192,False,False,False,True,False,False,False,False
193,False,False,False,True,False,False,False,False
194,False,False,False,True,False,False,False,False
195,False,False,False,True,False,False,False,False
196,False,False,False,False,True,False,False,False
197,False,False,False,True,False,False,False,False
198,False,False,False,False,True,False,False,False
199,False,False,False,False,True,False,False,False
200,False,False,False,True,False,False,False,False
201,False,False,False,False,False,False,False,False
202,False,False,False,False,True,False,False,False
203,False,False,True,False,False,False,False,False
204,False,False,False,False,False,False,False,False
205,False,False,True,False,False,False,False,False
206,False,False,True,False,False,False,False,False
207,False,False,True,False,False,False,False,False
208,False,False,False,False,False,False,False,False
209,False,False,False,False,False,False,False,False
210,False,False,True,False,False,False,False,False
211,False,False,True,False,False,False,False,False
212,False,False,True,False,False,False,False,False
213,False,False,False,False,False,True,False,False
214,False,False,True,False,False,False,False,False
215,False,False,False,False,False,True,False,False
216,False,False,False,False,False,False,False,False
217,False,False,False,False,False,False,False,False
218,False,False,True,False,False,False,False,False
219,False,False,True,False,False,False,False,False
220,False,False,False,True,False,False,False,False
221,False,False,False,False,False,False,False,False
222,False,False,False,True,False,False,False,False
223,False,False,False,True,False,False,True,True
224,False,False,False,True,False,False,True,False
225,False,False,False,True,False,False,False,True
226,False,False,False,True,False,False,True,True
227,False,False,False,True,False,False,False,False
228,False,False,False,True,False,False,True,False
229,False,False,False,False,False,True,False,False
230,False,False,False,False,False,True,False,False
231,False,False,False,False,False,True,False,False
232,True,False,False,False,False,False,False,False
233,False,False,False,False,False,True,False,False
234,False,False,False,False,False,True,False,False
235,False,False,False,False,False,True,False,False
236,False,False,False,False,False,True,False,False
237,False,False,False,False,False,True,False,False
238,False,False,False,False,True,True,False,False
239,False,False,False,False,False,True,False,False
240,False,False,False,False,False,True,False,False
241,False,False,False,False,False,True,False,False
242,False,False,False,False,True,False,False,False
243,False,False,False,True,False,False,False,False
244,False,False,False,True,False,False,False,False
245,False,False,False,True,False,False,True,True
246,False,False,False,True,False,False,False,False
247,False,False,False,True,False,False,False,False
248,False,False,False,True,False,False,False,False
249,False,False,False,False,False,True,False,False
250,False,False,False,False,False,False,False,False
251,False,True,False,False,False,False,False,False
252,False,False,False,True,False,False,False,True
253,False,False,False,True,False,False,True,False
254,False,False,False,False,False,False,False,False
255,False,False,False,True,False,False,False,False
256,False,False,False,False,False,False,False,True
257,False,False,False,True,False,False,False,False
258,False,False,False,True,False,False,False,False
259,False,False,False,True,False,False,False,False
260,False,False,False,True,False,False,False,False
261,False,False,False,True,False,False,True,True
262,False,False,False,False,False,False,False,True
263,False,False,False,True,False,False,False,False
264,False,False,False,True,False,False,False,False
265,False,False,False,False,False,False,False,False
266,False,False,False,False,False,False,False,False
267,False,False,False,False,False,False,False,False
268,False,False,False,False,False,False,False,False
269,False,True,False,False,False,False,False,False
